Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover
04/12/07,ASHOKLEY,EQ,23.5,23.75,25.7,23.65,25.35,25.375,24.89,42531356,2.11731E+14
05/12/07,ASHOKLEY,EQ,25.375,25.8,26,24.325,24.925,24.925,25.06,24785145,1.24218E+14
06/12/07,ASHOKLEY,EQ,24.925,25.45,26.85,24.575,25.725,25.425,25.85,32303824,1.66997E+14
07/12/07,ASHOKLEY,EQ,25.425,25.75,26.425,24.35,25.025,25.05,25.335,14793200,7.49633E+13
10/12/07,ASHOKLEY,EQ,25.05,27.5,27.5,25.125,26.7,26.375,25.95,20426583,1.06014E+14
11/12/07,ASHOKLEY,EQ,26.375,27.15,27.5,26.05,26.25,26.325,26.89,21163562,1.13811E+14
12/12/07,ASHOKLEY,EQ,26.325,25.9,26.95,25.15,26.775,26.8,26.49,14907132,7.89769E+13
13/12/07,ASHOKLEY,EQ,26.8,27.225,27.225,26,26.175,26.175,26.465,11782086,6.23603E+13
14/12/07,ASHOKLEY,EQ,26.175,26.15,26.85,26.05,26.35,26.4,26.475,11204901,5.93268E+13
17/12/07,ASHOKLEY,EQ,26.4,26.375,26.5,23.625,24.425,24.4,25.455,11169877,5.6865E+13
18/12/07,ASHOKLEY,EQ,24.4,24.725,24.9,23.55,24.45,24.2,24.14,10132194,4.89181E+13
19/12/07,ASHOKLEY,EQ,24.2,24.75,25.425,24.1,24.85,24.725,24.93,9125800,4.54991E+13
20/12/07,ASHOKLEY,EQ,24.725,25.225,25.225,24.075,24.15,24.25,24.505,4916561,2.40963E+13
24/12/07,ASHOKLEY,EQ,24.25,24.725,25.1,24.125,24.725,24.725,24.635,5483523,2.70147E+13
26/12/07,ASHOKLEY,EQ,24.725,24.9,25.375,24.7,25.1,25.125,25.17,5891065,2.96574E+13
27/12/07,ASHOKLEY,EQ,25.125,25.275,25.775,24.3,24.7,24.725,24.92,23692409,1.18083E+14
28/12/07,ASHOKLEY,EQ,24.725,24.25,25.3,24.25,25.175,25.075,24.9,7990426,3.97929E+13
31/12/07,ASHOKLEY,EQ,25.075,25.15,26.225,25.025,26.1,26.025,25.825,11556125,5.96841E+13
01/01/08,ASHOKLEY,EQ,26.025,26.175,26.6,25.85,26.025,26.05,26.165,8571947,4.48591E+13
02/01/08,ASHOKLEY,EQ,26.05,26.25,26.45,25.525,25.975,25.95,25.92,9146029,4.74108E+13
03/01/08,ASHOKLEY,EQ,25.95,25.9,26.75,25.525,26.3,26.3,26.195,16247206,8.51181E+13
04/01/08,ASHOKLEY,EQ,26.3,26.5,27.65,26.375,26.875,27,27.06,20913502,1.1318E+14
07/01/08,ASHOKLEY,EQ,27,22,28.675,21.95,28.2,28.175,27.985,31195305,1.74603E+14
08/01/08,ASHOKLEY,EQ,28.175,28.5,28.75,26.55,27.075,27.025,27.665,18652459,1.03202E+14
09/01/08,ASHOKLEY,EQ,27.025,27,27.9,25.825,27.15,27.15,27,17235571,9.30702E+13
10/01/08,ASHOKLEY,EQ,27.15,27.5,27.7,25.125,25.8,25.55,26.6,11004379,5.85463E+13
11/01/08,ASHOKLEY,EQ,25.55,25.875,26,24.625,25.225,25.15,25.095,11753824,5.89907E+13
14/01/08,ASHOKLEY,EQ,25.15,25.425,25.475,24.65,24.725,24.8,24.93,11004698,5.4865E+13
15/01/08,ASHOKLEY,EQ,24.8,25.25,25.4,23.8,23.95,24.05,24.665,8804764,4.34333E+13
16/01/08,ASHOKLEY,EQ,24.05,24.05,24.05,23,23.775,23.65,23.57,6292032,2.96633E+13
17/01/08,ASHOKLEY,EQ,23.65,23.9,24.55,23.55,24.15,24.125,24.185,7593171,3.67308E+13
18/01/08,ASHOKLEY,EQ,24.125,24,24.45,22.625,22.75,22.95,23.78,7755429,3.68876E+13
21/01/08,ASHOKLEY,EQ,22.95,22.5,23,16.5,18.325,18.05,19.5,14526538,5.66524E+13
22/01/08,ASHOKLEY,EQ,18.05,17.9,18.35,13.075,16,16.05,15.645,28414110,8.89043E+13
23/01/08,ASHOKLEY,EQ,16.05,17.35,19.225,15.85,18.625,18.55,17.81,20587847,7.33246E+13
24/01/08,ASHOKLEY,EQ,18.55,19.85,19.85,16.9,17.9,18,18.27,14745348,5.38766E+13
25/01/08,ASHOKLEY,EQ,18,18.9,19.25,18.025,18.75,18.75,18.665,10476339,3.91076E+13
