Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover
04/12/07,BHARTIARTL,EQ,461.975,465,469,456.525,459.45,458.425,460.55,1421972,1.30978E+14
05/12/07,BHARTIARTL,EQ,458.425,459,462.45,453.8,460.575,460.225,458.45,3275238,3.00307E+14
06/12/07,BHARTIARTL,EQ,460.225,462,476.15,460,472.5,470.325,465.13,4685164,4.3584E+14
07/12/07,BHARTIARTL,EQ,470.325,477.5,497.95,474.075,481,479.375,485.575,6718886,6.52505E+14
10/12/07,BHARTIARTL,EQ,479.375,482.5,494.7,477.5,485.5,486.6,486.455,2542189,2.47332E+14
11/12/07,BHARTIARTL,EQ,486.6,489,521.75,487.5,517.5,518.075,505.575,4996667,5.05236E+14
12/12/07,BHARTIARTL,EQ,518.075,500.775,534.85,493.5,527.5,529.375,516.29,3311927,3.41984E+14
13/12/07,BHARTIARTL,EQ,529.375,531,532,491.5,492.55,494.075,502.435,3916473,3.93553E+14
14/12/07,BHARTIARTL,EQ,494.075,491.4,499.5,472.5,477.25,477.15,481.355,3093195,2.97786E+14
17/12/07,BHARTIARTL,EQ,477.15,474.95,475,447.025,452.95,452.4,455.04,4446637,4.04678E+14
18/12/07,BHARTIARTL,EQ,452.4,455,463.925,452.5,455,455.25,457.245,2309292,2.11182E+14
19/12/07,BHARTIARTL,EQ,455.25,462,462.5,450.5,452,452.9,452.9,3282145,2.97297E+14
20/12/07,BHARTIARTL,EQ,452.9,452.9,464.7,451,462.5,459.475,458.28,2314726,2.12159E+14
24/12/07,BHARTIARTL,EQ,459.475,462.5,492.5,460,481.35,486.1,475.57,3457781,3.28883E+14
26/12/07,BHARTIARTL,EQ,486.1,479.5,495,475.5,491.475,491.725,488.125,2039548,1.99111E+14
27/12/07,BHARTIARTL,EQ,491.725,497.5,497.5,474.1,486.125,482.7,482.31,3847885,3.71175E+14
28/12/07,BHARTIARTL,EQ,482.7,477.5,486.85,467.05,470,470.7,474.01,2518320,2.38741E+14
31/12/07,BHARTIARTL,EQ,470.7,493.85,511.7,480,495,498.2,496.405,4486789,4.45452E+14
01/01/08,BHARTIARTL,EQ,498.2,500,500,481.575,483.45,483.8,486.005,1327243,1.29009E+14
02/01/08,BHARTIARTL,EQ,483.8,485,491.35,476,482.65,483.125,481.31,2382783,2.29372E+14
03/01/08,BHARTIARTL,EQ,483.125,477.5,482.425,469.55,475.1,474.55,473.595,2297053,2.17574E+14
04/01/08,BHARTIARTL,EQ,474.55,477.4,479.45,470.5,474.5,474.175,474.08,2027552,1.92244E+14
07/01/08,BHARTIARTL,EQ,474.175,470,473.9,462.5,467.55,468.525,468.51,2579808,2.41733E+14
08/01/08,BHARTIARTL,EQ,468.525,478.425,490.25,471.025,486.1,487.95,481.01,3865643,3.71883E+14
09/01/08,BHARTIARTL,EQ,487.95,491.5,491.5,477.025,485.575,487.075,484.1,2638311,2.55441E+14
10/01/08,BHARTIARTL,EQ,487.075,489,489,477.65,484.1,483.725,484.3,2732955,2.64713E+14
11/01/08,BHARTIARTL,EQ,483.725,485,491.5,468.5,484.125,482.425,480.725,2596120,2.49605E+14
14/01/08,BHARTIARTL,EQ,482.425,455.675,485,451.45,452.45,453.675,459.38,5521576,5.07303E+14
15/01/08,BHARTIARTL,EQ,453.675,455,457,422.5,429,428.9,429.995,10653800,9.16217E+14
16/01/08,BHARTIARTL,EQ,428.9,422.5,438,410.125,433.45,432.775,426.18,7946322,6.77315E+14
17/01/08,BHARTIARTL,EQ,432.775,432.5,448.2,423.5,435.9,435.975,436.55,5038350,4.39896E+14
18/01/08,BHARTIARTL,EQ,435.975,432.55,445,427.5,436.525,437.1,439.25,3245177,2.85089E+14
21/01/08,BHARTIARTL,EQ,437.1,444,445,401.1,412.5,414.5,424.29,4284030,3.63534E+14
