Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover
04/12/07,HINDUNILVR,EQ,206.05,206.9,207.75,205.35,207,206.55,206.49,1707081,3.52487E+13
05/12/07,HINDUNILVR,EQ,206.55,206.25,207.85,205.35,206,206,206,2142666,4.41397E+13
06/12/07,HINDUNILVR,EQ,206,206,208.95,206,207,207.65,207.97,2881367,5.99241E+13
07/12/07,HINDUNILVR,EQ,207.65,209.95,212.4,207.1,209.15,208.6,209.21,1399834,2.92861E+13
10/12/07,HINDUNILVR,EQ,208.6,209.1,209.1,201.6,205.5,205.9,204.41,4638523,9.48166E+13
11/12/07,HINDUNILVR,EQ,205.9,207.95,211.9,204,210.7,210.7,208.01,1592361,3.31228E+13
12/12/07,HINDUNILVR,EQ,210.7,206.55,211.8,206.55,210,210.25,209.36,1773167,3.71228E+13
13/12/07,HINDUNILVR,EQ,210.25,210.25,215.9,210,212,212,212.29,1537240,3.26344E+13
14/12/07,HINDUNILVR,EQ,212,212,220,211,217.5,218.7,215.99,1840154,3.97462E+13
17/12/07,HINDUNILVR,EQ,218.7,217,220.45,214.5,219,218.95,218.89,2395807,5.2443E+13
18/12/07,HINDUNILVR,EQ,218.95,210.9,222.9,208.95,211.4,212.25,218.72,3282388,7.17918E+13
19/12/07,HINDUNILVR,EQ,212.25,212,217.95,207.55,213.05,212.5,210.63,832784,1.75413E+13
20/12/07,HINDUNILVR,EQ,212.5,210.5,214.85,210.5,213,212.9,212.79,744581,1.5844E+13
24/12/07,HINDUNILVR,EQ,212.9,213,219,212.15,217.35,216.45,215.2,3025652,6.51123E+13
26/12/07,HINDUNILVR,EQ,216.45,215,218.8,213,215.25,215.3,214.93,893900,1.92125E+13
27/12/07,HINDUNILVR,EQ,215.3,215.3,220,214.6,217.8,216.9,216.77,1915269,4.15166E+13
28/12/07,HINDUNILVR,EQ,216.9,215,217.5,215,215.45,216.35,216.14,1713386,3.70329E+13
31/12/07,HINDUNILVR,EQ,216.35,217.5,217.85,212.1,212.1,213.7,215.48,1693557,3.64934E+13
01/01/08,HINDUNILVR,EQ,213.7,213.25,222,212.65,218.4,218.45,218.58,1174904,2.56809E+13
02/01/08,HINDUNILVR,EQ,218.45,220,220.45,212.6,215.25,215.8,214.96,1660873,3.57028E+13
03/01/08,HINDUNILVR,EQ,215.8,215,225,214.5,221,222.85,218.98,2717376,5.95046E+13
04/01/08,HINDUNILVR,EQ,222.85,217.1,235.5,217.1,229,232.05,229.13,4465342,1.02315E+14
07/01/08,HINDUNILVR,EQ,232.05,228.9,240.5,227.1,237,237.2,233.11,3230086,7.5297E+13
08/01/08,HINDUNILVR,EQ,237.2,235.15,244,233,238,236.6,239.55,2124570,5.0893E+13
09/01/08,HINDUNILVR,EQ,236.6,235,238.9,229.5,234,234,233.37,1195033,2.78886E+13
10/01/08,HINDUNILVR,EQ,234,234.4,236,226.5,227.85,228.55,230.47,1342183,3.09328E+13
11/01/08,HINDUNILVR,EQ,228.55,229,230,218.1,224.5,223.7,223.03,1141767,2.54645E+13
14/01/08,HINDUNILVR,EQ,223.7,222.95,225,217.6,218.8,219.05,220.01,763653,1.68015E+13
15/01/08,HINDUNILVR,EQ,219.05,221,222,216,217,216.8,218.23,1030023,2.24785E+13
16/01/08,HINDUNILVR,EQ,216.8,217,219.2,213,214.25,214.7,215.29,1174696,2.52895E+13
17/01/08,HINDUNILVR,EQ,214.7,216,222,215,217.45,217.55,218.92,1164672,2.54965E+13
18/01/08,HINDUNILVR,EQ,217.55,216,221.9,210.65,212,213.9,216.61,2349974,5.09023E+13
21/01/08,HINDUNILVR,EQ,213.9,214.5,214.5,190,200,199.65,203.36,1652698,3.36094E+13
22/01/08,HINDUNILVR,EQ,199.65,194.9,215,169,184.45,184.05,185.71,3751328,6.96663E+13
23/01/08,HINDUNILVR,EQ,184.05,198,201.9,185,195,190.6,192.67,2413460,4.65011E+13
24/01/08,HINDUNILVR,EQ,190.6,192,202.8,180.05,180.95,186.15,196.7,2334318,4.59171E+13
25/01/08,HINDUNILVR,EQ,186.15,188.5,202,186,202,200.15,195.85,988816,1.93657E+13
28/01/08,HINDUNILVR,EQ,200.15,196.6,203.4,184.4,201.95,199.9,193.9,982732,1.9055E+13
29/01/08,HINDUNILVR,EQ,199.9,201,211.5,199,208.55,208.85,204.74,1411033,2.8889E+13
30/01/08,HINDUNILVR,EQ,208.85,209.1,217,194.05,196.85,195.85,199.2,1232694,2.45559E+13
31/01/08,HINDUNILVR,EQ,195.85,194.05,212,194.05,209,208.75,205.93,3350972,6.90062E+13
01/02/08,HINDUNILVR,EQ,208.75,208,210.8,203.5,208,207.9,207.22,1629838,3.3773E+13
04/02/08,HINDUNILVR,EQ,207.9,202.15,216.5,202.15,213,213.25,213.11,1042693,2.22208E+13
05/02/08,HINDUNILVR,EQ,213.25,207,213.2,205.5,209,209,208.93,753304,1.57386E+13
06/02/08,HINDUNILVR,EQ,209,201.6,208.85,201,207,204.15,205.31,1468704,3.01539E+13
07/02/08,HINDUNILVR,EQ,204.15,206,206,196.5,200,200,200.66,1012553,2.03183E+13
08/02/08,HINDUNILVR,EQ,200,199,213.55,195.65,210,211.25,205.3,2412299,4.9525E+13
11/02/08,HINDUNILVR,EQ,211.25,213,213,192.15,195.05,194.1,200.01,1967393,3.93496E+13
