Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover
04/12/07,ICICIBANK,EQ,232.4,233,233,226.64,228.18,227.94,228.912,2556057,2.92555E+14
05/12/07,ICICIBANK,EQ,227.94,229,235.4,226.2,234.39,232.81,229.074,4249970,4.86778E+14
06/12/07,ICICIBANK,EQ,232.81,239.76,243.94,236,241.8,240.14,239.664,3008947,3.60568E+14
07/12/07,ICICIBANK,EQ,240.14,242.6,250,240.45,249.2,249.52,245.368,3265191,4.00587E+14
10/12/07,ICICIBANK,EQ,249.52,250.02,256.96,247.4,254.62,254.29,253.126,2610260,3.30363E+14
11/12/07,ICICIBANK,EQ,254.29,254.29,265.32,253.98,260.9,262.86,260.172,2800789,3.64344E+14
12/12/07,ICICIBANK,EQ,262.86,255,262.58,254,256.97,257.98,258.706,2459895,3.18194E+14
13/12/07,ICICIBANK,EQ,257.98,258,259.9,246.22,249.78,248.57,251.766,2395639,3.0157E+14
14/12/07,ICICIBANK,EQ,248.57,242.05,250.48,240.6,241.87,241.39,244.958,2097622,2.56915E+14
17/12/07,ICICIBANK,EQ,241.39,247.76,247.76,231,233.8,233.25,236.92,1853668,2.19586E+14
18/12/07,ICICIBANK,EQ,233.25,234,236.36,226.05,227.65,227.54,230.92,3111688,3.59277E+14
19/12/07,ICICIBANK,EQ,227.54,233.87,234.93,229.63,232.4,232.68,232.708,2581321,3.00346E+14
20/12/07,ICICIBANK,EQ,232.68,235,236,229.03,232.6,231.5,231.134,1406846,1.62585E+14
24/12/07,ICICIBANK,EQ,231.5,232,242.8,231.6,242.4,241.19,240.876,2560333,3.08361E+14
26/12/07,ICICIBANK,EQ,241.19,248,249.48,237.05,244.21,243.78,243.092,961699,1.16891E+14
27/12/07,ICICIBANK,EQ,243.78,246.4,252,245.05,250,249.45,247.686,2195266,2.71868E+14
28/12/07,ICICIBANK,EQ,249.45,246.2,248.4,240.8,246,245.34,244.998,1040454,1.27454E+14
31/12/07,ICICIBANK,EQ,245.34,247.6,249.82,240,247,247.74,245.03,1699272,2.08186E+14
01/01/08,ICICIBANK,EQ,247.74,248,248,244.22,245.02,245.75,246.056,731426,8.99855E+13
02/01/08,ICICIBANK,EQ,245.75,249.6,259.94,241.05,255.05,253.45,249.994,2426074,3.03253E+14
03/01/08,ICICIBANK,EQ,253.45,250.42,252.98,245.01,245.78,245.79,247.87,2536333,3.14339E+14
04/01/08,ICICIBANK,EQ,245.79,246.32,260,246.32,256,257.26,254.4,2567221,3.2655E+14
07/01/08,ICICIBANK,EQ,257.26,256,275.99,246.8,273.2,272.51,267.014,7291435,9.73455E+14
08/01/08,ICICIBANK,EQ,272.51,274,278,262.29,267.7,267.99,268.23,4805512,6.44493E+14
09/01/08,ICICIBANK,EQ,267.99,265,270.97,255.82,262,261.59,263.906,4109871,5.42309E+14
10/01/08,ICICIBANK,EQ,261.59,268,280,264,271.6,271.23,274.984,7520813,1.03405E+15
11/01/08,ICICIBANK,EQ,271.23,275,290,275,288.11,287,284.466,5229061,7.43747E+14
14/01/08,ICICIBANK,EQ,287,290,291.1,276.13,278.54,282,282.608,5177013,7.31533E+14
15/01/08,ICICIBANK,EQ,282,280,282,266.42,270.21,270.44,272.342,5813189,7.91586E+14
16/01/08,ICICIBANK,EQ,270.44,256.44,275.88,256.44,273,273.66,269.398,6646564,8.95283E+14
17/01/08,ICICIBANK,EQ,273.66,274.04,277.2,255.31,263,264.42,267.042,5403238,7.21445E+14
18/01/08,ICICIBANK,EQ,264.42,263.6,268,244.25,248,249.77,259.97,6702240,8.71187E+14
