Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover
04/12/07,JSWSTEEL,EQ,105.985,106.7,109,105.825,108.9,108.235,107.395,504818,5.42147E+13
05/12/07,JSWSTEEL,EQ,108.235,110.5,113.7,107.535,113,112.96,111.669,760499,8.49239E+13
06/12/07,JSWSTEEL,EQ,112.96,114.24,118.8,113.31,118.5,116.675,115.715,1359813,1.57351E+14
07/12/07,JSWSTEEL,EQ,116.675,119.03,127.88,118.6,120.4,120.745,121.262,1891347,2.29348E+14
10/12/07,JSWSTEEL,EQ,120.745,121.6,124.97,115.22,121.6,121.015,120.355,1108921,1.33464E+14
11/12/07,JSWSTEEL,EQ,121.015,122,122.995,119.86,120.8,120.45,121.192,785035,9.51402E+13
12/12/07,JSWSTEEL,EQ,120.45,118,125,117.035,124.55,124.06,122.665,640624,7.85819E+13
13/12/07,JSWSTEEL,EQ,124.06,125.74,138.9,125.2,133.81,133.6,134.419,1631148,2.19257E+14
14/12/07,JSWSTEEL,EQ,133.6,138.87,138.87,132.3,133.6,133.515,134.777,303205,4.0865E+13
17/12/07,JSWSTEEL,EQ,133.515,133,133.5,114.42,117.9,116.06,123.331,801116,9.8802E+13
18/12/07,JSWSTEEL,EQ,116.06,118,121,114.77,121,118.78,117.284,1109440,1.30119E+14
19/12/07,JSWSTEEL,EQ,118.78,121.51,125,119.025,122.5,121.62,121.079,830747,1.00586E+14
20/12/07,JSWSTEEL,EQ,121.62,123.115,126.8,121.2,122.575,123.05,123.51,764048,9.43676E+13
24/12/07,JSWSTEEL,EQ,123.05,125.45,126,123.51,123.9,124.08,124.414,392607,4.88457E+13
26/12/07,JSWSTEEL,EQ,124.08,124,128,121.1,124.705,124.99,126.041,434517,5.47668E+13
27/12/07,JSWSTEEL,EQ,124.99,126.5,131.595,125.2,130.3,130.41,129.152,753159,9.72719E+13
28/12/07,JSWSTEEL,EQ,130.41,130,132.5,128.85,132.15,131.98,130.789,325186,4.25308E+13
31/12/07,JSWSTEEL,EQ,131.98,133,134.645,131.5,131.53,131.95,133.037,262527,3.49257E+13
01/01/08,JSWSTEEL,EQ,131.95,133,136.3,131.04,132.2,131.93,133.481,373599,4.98685E+13
02/01/08,JSWSTEEL,EQ,131.93,132.8,134,128.63,129.5,130.4,130.362,286604,3.73622E+13
03/01/08,JSWSTEEL,EQ,130.4,125.7,134.995,125.7,133.8,134.225,132.007,534941,7.06161E+13
04/01/08,JSWSTEEL,EQ,134.225,134,136.58,133,133,133.49,135.016,622538,8.40527E+13
07/01/08,JSWSTEEL,EQ,133.49,131.5,133.97,128.36,130,129.915,130.185,1081929,1.40851E+14
08/01/08,JSWSTEEL,EQ,129.915,134.47,134.9,124.34,125,126.13,128.93,1070700,1.38045E+14
