Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover
04/12/07,LT,EQ,928.6666667,951.1111111,951.1111111,926.4222222,942.4444444,940.9888889,939.9733333,399107,1.68817E+14
05/12/07,LT,EQ,940.9888889,944.4444444,966.8111111,940.0888889,958.8888889,960.0666667,956.8311111,585426,2.52069E+14
06/12/07,LT,EQ,960.0666667,979.5333333,979.5333333,946.7555556,956,956.1444444,966.0733333,476122,2.06986E+14
07/12/07,LT,EQ,956.1444444,966.6666667,966.6666667,938.8888889,944.4444444,947.7333333,951.3022222,550569,2.35691E+14
10/12/07,LT,EQ,947.7333333,951.1111111,965.4888889,935.5555556,939.7777778,940.0222222,947.22,502931,2.14374E+14
11/12/07,LT,EQ,940.0222222,955.2444444,958.8888889,944.9222222,953.3333333,953.5111111,952.4311111,360166,1.54365E+14
12/12/07,LT,EQ,953.5111111,945.5555556,957.7777778,934.5,951.1111111,952.7666667,949.5377778,532399,2.2749E+14
13/12/07,LT,EQ,952.7666667,959.7777778,963.1111111,938,941.1111111,942.0444444,951.0822222,424567,1.81709E+14
14/12/07,LT,EQ,942.0444444,943.3333333,948.8888889,923.3444444,926.6666667,927.6,931.4666667,704678,2.95373E+14
17/12/07,LT,EQ,927.6,923.3333333,943.5555556,900,908.6444444,906.2444444,922.76,792405,3.2904E+14
18/12/07,LT,EQ,906.2444444,917.3333333,917.3333333,873.5777778,885.6,880.7666667,887.44,1238313,4.94518E+14
19/12/07,LT,EQ,880.7666667,891.7777778,899.8666667,878.1222222,888.6666667,886.6555556,888.9777778,608106,2.43267E+14
20/12/07,LT,EQ,886.6555556,895.1111111,897.5555556,878.8888889,886.4444444,886.3,886.0733333,502630,2.00415E+14
24/12/07,LT,EQ,886.3,900,911.1111111,894.6888889,909.7444444,909.0444444,903.8266667,503295,2.04701E+14
26/12/07,LT,EQ,909.0444444,914.4444444,940.6666667,910.4444444,931.1111111,932.0222222,930.2377778,550673,2.30516E+14
27/12/07,LT,EQ,932.0222222,941.1111111,943.6,920.0444444,925.5555556,923.8444444,930.1088889,633940,2.65335E+14
28/12/07,LT,EQ,923.8444444,928.8444444,932.1111111,911.3888889,924.8888889,923.5,922.9022222,375797,1.56071E+14
31/12/07,LT,EQ,923.5,925.5555556,937.7777778,922.8,925.5555556,926.0888889,930.0133333,207866,8.69931E+13
01/01/08,LT,EQ,926.0888889,929.5555556,931.1111111,916.7111111,923.3333333,921.3888889,923.52,206138,8.56676E+13
02/01/08,LT,EQ,921.3888889,921.3888889,927.6444444,906.7777778,915.5555556,919.6333333,915.9111111,389621,1.60586E+14
03/01/08,LT,EQ,919.6333333,919.6333333,919.6333333,897.7777778,902.2222222,901.0777778,907.2466667,680108,2.77662E+14
