Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover
04/12/07,RELIANCE,EQ,733.725,737.5,741.4,712.55,716.25,715.625,1445.455,2637250,7.62406E+14
05/12/07,RELIANCE,EQ,715.625,728.175,730,716.25,726.25,725.35,1448.935,1958011,5.67406E+14
06/12/07,RELIANCE,EQ,725.35,737.5,747,716.3125,718.75,718.45,1450.03,2480173,7.19265E+14
07/12/07,RELIANCE,EQ,718.45,726.25,726.25,700.5875,712.75,710.3625,1419.205,3296976,9.35819E+14
10/12/07,RELIANCE,EQ,710.3625,712.5,717.2,700.325,704,705.7375,1413.575,1845761,5.21825E+14
11/12/07,RELIANCE,EQ,705.7375,713.75,724.7375,707.5,720,721.4125,1436.965,3182745,9.14698E+14
12/12/07,RELIANCE,EQ,721.4125,717.75,727.5,710,718.625,720.225,1439.685,3105727,8.94254E+14
13/12/07,RELIANCE,EQ,720.225,720.5,731.5,703.75,703.825,708.1875,1438.305,3310270,9.52234E+14
14/12/07,RELIANCE,EQ,708.1875,701.25,725,701.25,725,722.1625,1430.395,3562187,1.01907E+15
17/12/07,RELIANCE,EQ,722.1625,712.5125,722,677.5,691.65,693.775,1407.27,3594591,1.01171E+15
18/12/07,RELIANCE,EQ,693.775,696.25,700.025,675.7625,684.75,681.8875,1378.85,4143300,1.1426E+15
19/12/07,RELIANCE,EQ,681.8875,670.0125,696.225,662.8875,677.75,675.95,1358.59,3792872,1.03059E+15
20/12/07,RELIANCE,EQ,675.95,678.75,696,672.975,679.75,678.4125,1360.645,2500665,6.80504E+14
24/12/07,RELIANCE,EQ,678.4125,691.5,699.9875,674.5,697.5,697.1375,1382.07,2693235,7.44448E+14
26/12/07,RELIANCE,EQ,697.1375,700,728.675,699.5,723,724.125,1432.115,3170047,9.07973E+14
27/12/07,RELIANCE,EQ,724.125,725,731.5,718.775,723.45,723.4625,1450.055,3821936,1.1084E+15
28/12/07,RELIANCE,EQ,723.4625,721.75,732.5,714.0625,726.25,723.7125,1449.945,1816867,5.26872E+14
31/12/07,RELIANCE,EQ,723.7125,725.875,732.5,717.5,721.875,720.675,1447.395,1281379,3.70932E+14
01/01/08,RELIANCE,EQ,720.675,722.5,724.75,708.775,713.25,712.0625,1432.59,1204696,3.45167E+14
02/01/08,RELIANCE,EQ,712.0625,713.75,721,702.825,715.875,715.4375,1423.005,3117451,8.87229E+14
03/01/08,RELIANCE,EQ,715.4375,713,732.5,707.5625,726.025,725.925,1453.505,3452086,1.00352E+15
04/01/08,RELIANCE,EQ,725.925,726,754.95,726,745.025,748.25,1491.685,4053144,1.2092E+15
07/01/08,RELIANCE,EQ,748.25,743.7,757.5,740,755.15,755.0625,1501.45,3132985,9.40804E+14
08/01/08,RELIANCE,EQ,755.0625,762.625,771,750,763.75,763.6625,1522.245,4907826,1.49418E+15
09/01/08,RELIANCE,EQ,763.6625,761.9125,767.5,753.0875,758.5,758.4125,1519.435,2522299,7.66494E+14
10/01/08,RELIANCE,EQ,758.4125,758.75,774.375,753.75,756.2625,756.95,1532.025,4107103,1.25844E+15
11/01/08,RELIANCE,EQ,756.95,769.875,785,756.25,785,781.9,1544.375,5031340,1.55406E+15
14/01/08,RELIANCE,EQ,781.9,789.75,810,781.5,805.75,805.2125,1598.875,2761350,8.8301E+14
15/01/08,RELIANCE,EQ,805.2125,824.5,824.5,785.325,789,791.3875,1597.23,3798648,1.21346E+15
16/01/08,RELIANCE,EQ,791.3875,777.5,786.25,756.25,780.25,773.4125,1537.625,5554677,1.7082E+15
17/01/08,RELIANCE,EQ,773.4125,789.75,789.75,744.0375,744.25,749.1375,1525.745,4791289,1.46206E+15
18/01/08,RELIANCE,EQ,749.1375,743.75,743.75,695,700,699.9,1447.33,5803304,1.67986E+15
21/01/08,RELIANCE,EQ,699.9,694.95,694.95,586.3125,639.5,635.2,1316.385,8279575,2.17982E+15
22/01/08,RELIANCE,EQ,635.2,588.0625,622,530,590.175,589.3625,1167.87,8766276,2.04758E+15
23/01/08,RELIANCE,EQ,589.3625,605,706.25,600,640,637.675,1258.675,7329351,1.84506E+15
24/01/08,RELIANCE,EQ,637.675,647.5,661.25,608.75,622.5,622.225,1259.88,4882441,1.23026E+15
25/01/08,RELIANCE,EQ,622.225,643.75,656.25,631.25,653.1125,653.85,1292.115,2996462,7.74356E+14
28/01/08,RELIANCE,EQ,653.85,641.25,648.675,607.5,641.75,641.6,1251.275,3025440,7.57132E+14
29/01/08,RELIANCE,EQ,641.6,661.25,661.25,635.0875,642.25,644.225,1293.445,1988599,5.14428E+14
30/01/08,RELIANCE,EQ,644.225,636.3,649.5,613.25,617.5,617.975,1250.695,2497759,6.24788E+14
31/01/08,RELIANCE,EQ,617.975,618,642.425,592.75,623.75,619.725,1244.195,5649201,1.40574E+15
01/02/08,RELIANCE,EQ,619.725,622.5,640.0625,605,633.6875,635.6875,1243.285,2109433,5.24525E+14
04/02/08,RELIANCE,EQ,635.6875,634,660.5,634,647.5,647.8,1303.455,2950332,7.69126E+14
05/02/08,RELIANCE,EQ,647.8,650,658.5,641.575,658.5,654.275,1304.2,1731683,4.51692E+14
06/02/08,RELIANCE,EQ,654.275,639.975,642.5,625.325,637,638.125,1272.015,2201762,5.60135E+14
07/02/08,RELIANCE,EQ,638.125,630,645,601.775,607,606.3625,1237.15,3133544,7.75333E+14
08/02/08,RELIANCE,EQ,606.3625,608.775,617,597.5,601.875,606.6,1212.19,3160339,7.66188E+14
11/02/08,RELIANCE,EQ,606.6,603.5,603.5,558.75,564.25,569.25,1150.36,4760592,1.09528E+15
12/02/08,RELIANCE,EQ,569.25,570.25,605,564.25,579.75,581.2125,1166.35,4073504,9.50226E+14
13/02/08,RELIANCE,EQ,581.2125,592.5,617.2375,587.5125,603.925,597.375,1207.88,4747799,1.14695E+15
14/02/08,RELIANCE,EQ,597.375,612.5,633.25,612.5,631.25,629.1875,1250.645,2879421,7.20226E+14
15/02/08,RELIANCE,EQ,629.1875,626.225,650,616.5,647.575,648.4875,1272.93,2152508,5.47997E+14
18/02/08,RELIANCE,EQ,648.4875,650,653.75,634.5,637.9875,638.425,1282.385,1304630,3.34607E+14
19/02/08,RELIANCE,EQ,638.425,647.5,654.5,632.5,632.5,638.6375,1291.845,1608669,4.1563E+14
20/02/08,RELIANCE,EQ,638.6375,625.05,637.5,615.5,620.2375,621,1250.12,2207600,5.51952E+14
21/02/08,RELIANCE,EQ,621,627.5,635.25,615.35,625.5,624.075,1249.735,1607483,4.01785E+14
22/02/08,RELIANCE,EQ,624.075,610.575,620,603.75,604.75,608.6125,1221.78,1982606,4.84462E+14
25/02/08,RELIANCE,EQ,608.6125,623.75,641.25,602.5125,636.35,637.8625,1245.285,1853574,4.61645E+14
26/02/08,RELIANCE,EQ,637.8625,641.225,646.5,633.025,641.5375,644.1625,1279.755,1461973,3.74193E+14
27/02/08,RELIANCE,EQ,644.1625,651.25,659.5,642.5125,646.025,647.1125,1303.1,2665462,6.94672E+14
28/02/08,RELIANCE,EQ,647.1125,645,650,629.175,635,633.3125,1272.96,2821861,7.18423E+14
29/02/08,RELIANCE,EQ,633.3125,638,638,602.5,608.45,615.8625,1234.285,3336910,8.2374E+14
03/03/08,RELIANCE,EQ,615.8625,599.95,599.95,572.3875,580,576.5,1171.855,3028734,7.09847E+14
04/03/08,RELIANCE,EQ,576.5,580,584.5,552.5,564.5,560.8,1136.98,4554609,1.0357E+15
05/03/08,RELIANCE,EQ,560.8,560.025,580,556.775,578.5,573.1875,1129.975,2937145,6.63781E+14
07/03/08,RELIANCE,EQ,573.1875,569.675,569.675,541.5625,557.5,562.0625,1110.16,3323902,7.38013E+14
10/03/08,RELIANCE,EQ,562.0625,552.725,572.2,530.5875,567.4125,568.6375,1104.705,5243330,1.15847E+15
11/03/08,RELIANCE,EQ,568.6375,562.5,588.75,551.1,585.5,586.975,1152.845,3666369,8.45352E+14
12/03/08,RELIANCE,EQ,586.975,604.7,607.1,590,590,593.65,1201.125,3195994,7.67759E+14
13/03/08,RELIANCE,EQ,593.65,572.5,581.25,550.4,563.775,560.7625,1130.74,4050878,9.16096E+14
14/03/08,RELIANCE,EQ,560.7625,562.5,584.975,557.575,584.5875,580.65,1143.61,2736483,6.25895E+14
17/03/08,RELIANCE,EQ,580.65,565.275,568.25,538.75,543.5,545.05,1100.895,4709376,1.0369E+15
18/03/08,RELIANCE,EQ,545.05,562.45,562.45,530,533.75,537.75,1093.045,3965487,8.6689E+14
19/03/08,RELIANCE,EQ,537.75,562.5,586.25,536.2875,537.5,539.775,1097.495,3399737,7.46238E+14
