Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover
04/12/07,SHREECEM,EQ,1409.1,1449,1449,1412,1445,1433.65,1430.18,2693,3.85149E+11
05/12/07,SHREECEM,EQ,1433.65,1457,1461.7,1445,1450,1455.3,1452.41,6717,9.75584E+11
06/12/07,SHREECEM,EQ,1455.3,1465.2,1499,1454,1460,1460.35,1462.49,4012,5.86753E+11
07/12/07,SHREECEM,EQ,1460.35,1535,1535,1455,1459.95,1461.35,1455.98,28332,4.12509E+12
10/12/07,SHREECEM,EQ,1461.35,1461.35,1474.9,1428,1436.1,1442.25,1449.58,7395,1.07197E+12
11/12/07,SHREECEM,EQ,1442.25,1442,1460,1410,1435,1445.1,1446.52,3103,4.48855E+11
12/12/07,SHREECEM,EQ,1445.1,1366.6,1450,1351.15,1435,1424.1,1423.28,1670,2.37687E+11
13/12/07,SHREECEM,EQ,1424.1,1455,1455,1411,1411.05,1419.95,1420.69,17924,2.54645E+12
14/12/07,SHREECEM,EQ,1419.95,1495,1550,1425,1515,1507.2,1507.16,34821,5.24808E+12
17/12/07,SHREECEM,EQ,1507.2,1508,1547,1455,1490,1479.4,1517.43,27447,4.16489E+12
18/12/07,SHREECEM,EQ,1479.4,1510,1540,1410,1430,1429.1,1463.17,20727,3.03271E+12
19/12/07,SHREECEM,EQ,1429.1,1497,1497,1385,1443,1406.2,1451.5,52705,7.65015E+12
20/12/07,SHREECEM,EQ,1406.2,1487.3,1487.3,1345,1358,1355.4,1392.97,14594,2.0329E+12
24/12/07,SHREECEM,EQ,1355.4,1422.95,1439.9,1355,1358,1364.45,1378.26,9897,1.36406E+12
26/12/07,SHREECEM,EQ,1364.45,1380,1399.9,1350,1366.75,1355.55,1372.17,25679,3.52359E+12
27/12/07,SHREECEM,EQ,1355.55,1370,1399,1325,1351,1339.05,1357.73,26197,3.55685E+12
28/12/07,SHREECEM,EQ,1339.05,1440,1440,1300,1323,1318.85,1325.1,31950,4.2337E+12
31/12/07,SHREECEM,EQ,1318.85,1390,1439,1324,1365,1340.75,1345.53,23961,3.22402E+12
01/01/08,SHREECEM,EQ,1340.75,1255.25,1379.95,1255.25,1347,1348.65,1350.65,18440,2.4906E+12
02/01/08,SHREECEM,EQ,1348.65,1395,1399,1336,1374,1371.5,1368.13,17186,2.35128E+12
03/01/08,SHREECEM,EQ,1371.5,1369,1377.8,1350.2,1354,1358.6,1365.35,4294,5.86279E+11
04/01/08,SHREECEM,EQ,1358.6,1375.15,1385,1350,1359,1353.85,1363.96,6767,9.22991E+11
07/01/08,SHREECEM,EQ,1353.85,1369,1369,1280,1361,1359.9,1356.51,19497,2.64479E+12
08/01/08,SHREECEM,EQ,1359.9,1371.15,1385,1303.1,1361.25,1364.65,1349.88,43098,5.8177E+12
09/01/08,SHREECEM,EQ,1364.65,1315.15,1380,1315.15,1345,1345.5,1354.85,79682,1.07957E+13
10/01/08,SHREECEM,EQ,1345.5,1345,1347,1324,1335,1332.2,1337.6,19251,2.57501E+12
11/01/08,SHREECEM,EQ,1332.2,1345,1430,1300,1329.95,1324.4,1327.36,8622,1.14445E+12
14/01/08,SHREECEM,EQ,1324.4,1355,1355,1311,1336,1337.35,1337.26,7817,1.04534E+12
15/01/08,SHREECEM,EQ,1337.35,1340,1345,1309,1312.5,1322.75,1337.2,13078,1.74879E+12
16/01/08,SHREECEM,EQ,1322.75,1272.6,1320,1272.6,1315.8,1309.9,1309.44,5318,6.96358E+11
17/01/08,SHREECEM,EQ,1309.9,1317,1330,1275,1310,1311.65,1305.51,14591,1.90488E+12
18/01/08,SHREECEM,EQ,1311.65,1320,1324,1150,1273,1256.85,1309.27,18700,2.44833E+12
21/01/08,SHREECEM,EQ,1256.85,1290,1290,1150,1150,1153.6,1178.82,7160,8.44034E+11
22/01/08,SHREECEM,EQ,1153.6,1130,1298,900.05,1190,1186.85,1110.63,14570,1.61818E+12
23/01/08,SHREECEM,EQ,1186.85,1195,1600,956.65,1501,1386.95,1289.89,23845,3.07575E+12
24/01/08,SHREECEM,EQ,1386.95,1275,1420,1200,1288,1297.1,1291.7,14254,1.84119E+12
