Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover
04/12/07,SUNPHARMA,EQ,109.995,110.025,110.8,108.6,109.4,109.3,109.537,31158,3.41295E+12
05/12/07,SUNPHARMA,EQ,109.3,109.3,113.5,107.2,111,111.83,110.715,133716,1.48044E+13
06/12/07,SUNPHARMA,EQ,111.83,113.3,113.49,106.505,108.99,108.7,109.837,230098,2.52733E+13
07/12/07,SUNPHARMA,EQ,108.7,108.085,113,108.085,111,111.34,110.815,153186,1.69753E+13
10/12/07,SUNPHARMA,EQ,111.34,111.6,114.4,109.225,112,112.115,111.279,82273,9.15528E+12
11/12/07,SUNPHARMA,EQ,112.115,112.215,114.88,110.505,113.8,113.585,113.042,104244,1.17839E+13
12/12/07,SUNPHARMA,EQ,113.585,113,119,112.995,118.87,117.39,115.442,56065,6.47224E+12
13/12/07,SUNPHARMA,EQ,117.39,116.5,118.4,109.055,111,111.99,114.21,172910,1.97481E+13
14/12/07,SUNPHARMA,EQ,111.99,114.8,114.915,109,114.395,113.85,112.8,54598,6.15864E+12
17/12/07,SUNPHARMA,EQ,113.85,110.37,112.89,107.555,109.8,109.14,110.747,150698,1.66894E+13
18/12/07,SUNPHARMA,EQ,109.14,109.14,116,106.7,114,113.82,113.343,94083,1.06636E+13
19/12/07,SUNPHARMA,EQ,113.82,116,118.5,110.1,117.5,115.005,112.794,197108,2.22326E+13
20/12/07,SUNPHARMA,EQ,115.005,115.5,119.6,114.505,118.1,118.19,116.393,153555,1.78727E+13
24/12/07,SUNPHARMA,EQ,118.19,118.4,127.39,115.1,123.795,123.85,123.461,195257,2.41067E+13
26/12/07,SUNPHARMA,EQ,123.85,126,126,119.5,120.7,120.91,120.824,95570,1.15472E+13
27/12/07,SUNPHARMA,EQ,120.91,124.5,124.5,117.6,117.6,118.675,119.078,313532,3.73349E+13
28/12/07,SUNPHARMA,EQ,118.675,117.8,122.9,114.225,120.6,121.475,118.428,123633,1.46416E+13
31/12/07,SUNPHARMA,EQ,121.475,122.5,123.4,119.005,121,120.375,121.127,54623,6.61633E+12
01/01/08,SUNPHARMA,EQ,120.375,122.69,122.69,119.1,119.425,119.79,119.924,46259,5.54756E+12
02/01/08,SUNPHARMA,EQ,119.79,117.8,119.8,116.02,118.395,118.46,117.481,128128,1.50526E+13
03/01/08,SUNPHARMA,EQ,118.46,119.7,119.78,112.6,113.315,113.575,114.309,221612,2.53323E+13
04/01/08,SUNPHARMA,EQ,113.575,113.5,114.49,110.025,111.2,111.15,112.27,170052,1.90917E+13
07/01/08,SUNPHARMA,EQ,111.15,112.5,112.795,107.6,111.5,112.18,109.52,284394,3.11469E+13
08/01/08,SUNPHARMA,EQ,112.18,113,114.98,108.525,110.89,110.85,111.256,234455,2.60845E+13
09/01/08,SUNPHARMA,EQ,110.85,108.8,112.6,108,109.8,109.91,110.38,115512,1.27502E+13
10/01/08,SUNPHARMA,EQ,109.91,111,111.3,108.3,109.7,109.6,109.579,402615,4.41182E+13
11/01/08,SUNPHARMA,EQ,109.6,109.2,115.1,108.6,115.1,114.585,112.62,238380,2.68464E+13
14/01/08,SUNPHARMA,EQ,114.585,114.985,115.7,110,110.26,110.395,111.67,72765,8.12566E+12
15/01/08,SUNPHARMA,EQ,110.395,108.8,112.7,108.68,109.525,110.5,109.899,48990,5.38396E+12
16/01/08,SUNPHARMA,EQ,110.5,110,111.2,108.4,109.6,109.7,109.128,61568,6.71881E+12
17/01/08,SUNPHARMA,EQ,109.7,109.8,111,108.605,108.8,108.86,109.668,91009,9.98081E+12
18/01/08,SUNPHARMA,EQ,108.86,110,111,107.105,109,108.825,108.747,197412,2.1468E+13
21/01/08,SUNPHARMA,EQ,108.825,108.1,109.1,100,105.5,105.96,106.692,201440,2.14921E+13
22/01/08,SUNPHARMA,EQ,105.96,101.8,106,89.1,92.5,96.895,96.681,366816,3.54642E+13
23/01/08,SUNPHARMA,EQ,96.895,104.9,104.9,92.5,96.49,97.24,96.751,327989,3.17333E+13
24/01/08,SUNPHARMA,EQ,97.24,98.26,102.1,87,95.8,92.55,93.503,237047,2.21646E+13
25/01/08,SUNPHARMA,EQ,92.55,98.265,101.89,96.13,99.2,97.615,99.743,130840,1.30503E+13
28/01/08,SUNPHARMA,EQ,97.615,97.6,102,93.26,98.5,99.275,95.965,55830,5.35775E+12
29/01/08,SUNPHARMA,EQ,99.275,101.4,108.59,99.015,106.5,106.24,106.106,195474,2.07411E+13
30/01/08,SUNPHARMA,EQ,106.24,107.5,116.99,101.8,112.5,115.49,112.578,524549,5.90528E+13
31/01/08,SUNPHARMA,EQ,115.49,107.9,117.49,107.9,112.5,113.28,113.05,632288,7.14803E+13
01/02/08,SUNPHARMA,EQ,113.28,113.3,114.435,110.005,111.2,111.9,111.883,113045,1.26478E+13
04/02/08,SUNPHARMA,EQ,111.9,114.3,117.4,109.2,111.09,110.305,113.651,135143,1.53592E+13
05/02/08,SUNPHARMA,EQ,110.305,110.99,114.2,108.71,112.6,112.52,111.959,139863,1.5659E+13
06/02/08,SUNPHARMA,EQ,112.52,108.11,110.97,105.2,110.795,109.65,108.784,115016,1.25119E+13
07/02/08,SUNPHARMA,EQ,109.65,107.9,111.89,106.875,109,109.015,109.017,89601,9.76805E+12
08/02/08,SUNPHARMA,EQ,109.015,109.015,113,107.7,110.9,111.91,110.957,54754,6.07533E+12
