Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover
04/12/07,TATAMOTORS,EQ,147.23,147.4,149.2,145.67,149.2,148.26,147.64,631272,4.66008E+13
05/12/07,TATAMOTORS,EQ,148.26,148.8,156.78,148.8,154.6,154.48,153.984,1410714,1.08613E+14
06/12/07,TATAMOTORS,EQ,154.48,155.1,156.4,152.65,155.6,155.09,154.826,807793,6.25338E+13
07/12/07,TATAMOTORS,EQ,155.09,155,156.34,152.11,153.05,153.46,154.98,1128220,8.7426E+13
10/12/07,TATAMOTORS,EQ,153.46,154.4,155.54,149.01,155,153.29,151.556,521361,3.95074E+13
11/12/07,TATAMOTORS,EQ,153.29,154,155.46,152.2,155.46,155.04,154.008,676097,5.2062E+13
12/12/07,TATAMOTORS,EQ,155.04,155.38,156,152.4,153.8,154.01,153.776,665743,5.11876E+13
13/12/07,TATAMOTORS,EQ,154.01,154,157.56,149.42,150.73,152.63,154.814,1146801,8.8771E+13
14/12/07,TATAMOTORS,EQ,152.63,152,152.8,147.6,149,148.97,149.206,901506,6.72547E+13
17/12/07,TATAMOTORS,EQ,148.97,148.76,149.94,138,140.6,140.35,143.362,1270727,9.10875E+13
18/12/07,TATAMOTORS,EQ,140.35,141.82,144,139.4,140.56,140.44,140.772,670396,4.71867E+13
19/12/07,TATAMOTORS,EQ,140.44,143.2,143.48,136.24,138.21,138.14,140.534,1652079,1.16087E+14
20/12/07,TATAMOTORS,EQ,138.14,138.4,142.98,138.4,142.6,142.03,141.332,1326200,9.37167E+13
24/12/07,TATAMOTORS,EQ,142.03,145.4,146.74,143.4,145.98,146.08,145.134,493832,3.58358E+13
26/12/07,TATAMOTORS,EQ,146.08,147.2,151.1,146,150.2,150.42,149.186,737559,5.50171E+13
27/12/07,TATAMOTORS,EQ,150.42,151.2,152,146.28,147.39,147.35,148.734,1098866,8.1719E+13
28/12/07,TATAMOTORS,EQ,147.35,146.4,147.94,137.6,145.6,145.87,145.808,757259,5.5207E+13
31/12/07,TATAMOTORS,EQ,145.87,148.8,149,146.6,148,148.38,148.046,823534,6.09606E+13
